,keyword,0,1,sum,dis%
62,debris,0.0,37.0,37.0,1.0
219,wreckage,0.0,39.0,39.0,1.0
70,derailment,0.0,39.0,39.0,1.0
153,outbreak,1.0,39.0,40.0,0.975
152,oil%20spill,1.0,37.0,38.0,0.9736842105263158
205,typhoon,1.0,37.0,38.0,0.9736842105263158
187,suicide%20bombing,1.0,32.0,33.0,0.9696969696969697
186,suicide%20bomber,1.0,30.0,31.0,0.967741935483871
32,bombing,2.0,27.0,29.0,0.9310344827586207
166,rescuers,3.0,32.0,35.0,0.9142857142857143
185,suicide%20bomb,3.0,32.0,35.0,0.9142857142857143
147,nuclear%20disaster,3.0,31.0,34.0,0.9117647058823529
96,evacuated,4.0,32.0,36.0,0.8888888888888888
162,razed,4.0,31.0,35.0,0.8857142857142857
214,wildfire,4.0,29.0,33.0,0.8787878787878788
213,wild%20fires,4.0,27.0,31.0,0.8709677419354839
3,airplane%20accident,5.0,30.0,35.0,0.8571428571428571
139,mass%20murder,5.0,28.0,33.0,0.8484848484848485
35,buildings%20on%20fire,5.0,28.0,33.0,0.8484848484848485
116,forest%20fires,5.0,27.0,32.0,0.84375
33,bridge%20collapse,6.0,29.0,35.0,0.8285714285714286
40,casualties,7.0,28.0,35.0,0.8
82,drought,7.0,28.0,35.0,0.8
115,forest%20fire,4.0,15.0,19.0,0.7894736842105263
207,violent%20storm,7.0,26.0,33.0,0.7878787878787878
196,thunderstorm,7.0,26.0,33.0,0.7878787878787878
97,evacuation,8.0,28.0,36.0,0.7777777777777778
87,earthquake,9.0,30.0,39.0,0.7692307692307693
171,sandstorm,9.0,28.0,37.0,0.7567567567567568
79,devastation,9.0,27.0,36.0,0.75
118,hailstorm,8.0,24.0,32.0,0.75
50,collision,10.0,29.0,39.0,0.7435897435897436
193,terrorist,8.0,23.0,31.0,0.7419354838709677
122,heat%20wave,9.0,25.0,34.0,0.7352941176470589
128,hostages,10.0,27.0,37.0,0.7297297297297297
114,floods,10.0,26.0,36.0,0.7222222222222222
81,displaced,10.0,26.0,36.0,0.7222222222222222
39,bush%20fires,7.0,18.0,25.0,0.72
192,terrorism,10.0,24.0,34.0,0.7058823529411765
216,wounded,11.0,26.0,37.0,0.7027027027027027
17,bioterrorism,9.0,21.0,30.0,0.7
191,survivors,9.0,21.0,30.0,0.7
141,massacre,11.0,25.0,36.0,0.6944444444444444
12,attack,11.0,25.0,36.0,0.6944444444444444
176,sinkhole,12.0,27.0,39.0,0.6923076923076923
10,arson,10.0,22.0,32.0,0.6875
130,injured,11.0,24.0,35.0,0.6857142857142857
1,accident,11.0,24.0,35.0,0.6857142857142857
34,buildings%20burning,11.0,24.0,35.0,0.6857142857142857
61,deaths,12.0,26.0,38.0,0.6842105263157895
103,fatal,12.0,26.0,38.0,0.6842105263157895
69,derailed,12.0,26.0,38.0,0.6842105263157895
43,catastrophic,10.0,20.0,30.0,0.6666666666666666
86,dust%20storm,12.0,24.0,36.0,0.6666666666666666
